Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,autosklearn,17,0.584125069002693,298.30943248199765
23,multiclass,autosklearn,18,0.6060878628935328,297.3586435560137
23,multiclass,autosklearn,19,0.5352863980497167,298.6690997540136
23,multiclass,autosklearn,20,0.6001017503459373,299.0156946759671
23,multiclass,evalml,1,0.5798201462702696,310.3372808499844
23,multiclass,evalml,2,0.5403710663149655,303.90387453098083
23,multiclass,evalml,3,0.529726039331691,305.66548016294837
23,multiclass,evalml,4,0.6025277478600986,305.829329892993
23,multiclass,evalml,5,0.57792197422115,309.6552462609834
23,multiclass,evalml,6,0.595481004830376,302.887879426009
23,multiclass,evalml,7,0.6025479065872764,303.13860159902833
23,multiclass,evalml,8,0.5441882225532463,304.651114873006
23,multiclass,evalml,9,0.5640974193287775,304.83463853097055
23,multiclass,evalml,10,0.5845781195479673,303.5368662069668
23,multiclass,evalml,11,0.5358460129633865,308.88538904296
23,multiclass,evalml,12,0.6108639972357982,305.0879770529573
23,multiclass,evalml,13,0.5313309656690598,306.1711448300048
23,multiclass,evalml,14,0.5455073356443906,303.233014878002
23,multiclass,evalml,15,0.5568109374117437,305.01452455396065
23,multiclass,evalml,16,0.568979125485413,301.24667827103985
23,multiclass,evalml,17,0.5648124004056209,303.9746766309836
23,multiclass,evalml,18,0.5842741038078613,303.9755613839952
23,multiclass,evalml,19,0.5311239136983629,304.079209412972
23,multiclass,evalml,20,0.5312919672641088,302.63251677597873
23,multiclass,fedot,1,0.5779341432848161,302.80752946343273
23,multiclass,fedot,2,0.5516199517447817,363.6283234031871
23,multiclass,fedot,3,0.5364428699716454,300.5975363170728
23,multiclass,fedot,4,0.5857542230844683,517.6050256378949
23,multiclass,fedot,5,0.5713980287523464,300.337390916422
23,multiclass,fedot,6,0.4828017867787056,299.6430979343131
23,multiclass,fedot,7,0.6131376082869534,301.02035749610513
23,multiclass,fedot,8,0.500845197740113,344.88702161889523
23,multiclass,fedot,9,0.559826158318725,300.86791730858386
23,multiclass,fedot,10,0.5634731929459883,300.15103149041533
23,multiclass,fedot,11,0.5108182866787073,752.2456995081156
23,multiclass,fedot,12,0.5879547566741119,300.27786225359887
23,multiclass,fedot,13,0.6049158595230243,302.8210124243051
23,multiclass,fedot,14,0.5804575958385212,392.67769999150187
23,multiclass,fedot,15,0.5739849913360349,554.6978597873822
